Date,DayOfWeek,Month,Year,Is_Weekend,Is_Holiday,Product_ID,Category,Base_Price,Discount_Percentage,Current_Price,Store_ID,Store_Type,Competitor_Price,Footfall_Index,Avg_Temperature,Rainfall_mm,Social_Media_Sentiment,Lead_Time_Days,Safety_Stock_Level,Stock_On_Hand,Daily_Units_Sold
4/13/2023,3,4,2023,0,0,1002,Grocery,410.09,0.01,405.99,15,Urban,411.58,127.6,29.1,8.5,0.63,7,141,471,83
12/15/2023,4,12,2023,0,0,1014,Home,89.98,0.3,62.99,7,Rural,90.37,56.9,1.9,5.3,0.35,11,59,263,102
9/28/2023,3,9,2023,0,0,1015,Electronics,404.88,0.14,348.2,17,Urban,408.07,191.8,14.5,2.8,0.77,4,111,302,89
4/17/2023,0,4,2023,0,0,1012,Grocery,347.97,0.43,198.34,12,Urban,349.2,71.6,24.4,1.3,0.86,11,38,389,98
3/13/2023,0,3,2023,0,0,1016,Grocery,280.16,0.14,240.94,18,Urban,252.64,185.5,26,0.4,0.36,14,46,262,100
7/8/2023,5,7,2023,1,0,1002,Beauty,351.27,0.34,231.84,14,Urban,316.26,62.5,26.4,3.8,0.53,6,172,211,83
1/21/2023,5,1,2023,1,0,1019,Clothing,208.95,0.34,137.91,15,Urban,192.14,173.4,4.1,23.2,0.12,9,157,464,110
4/13/2023,3,4,2023,0,1,1010,Clothing,73.51,0.11,65.42,15,Rural,67.65,72.8,2.7,6.7,0.42,12,172,163,103
5/2/2023,1,5,2023,0,0,1018,Electronics,334.55,0.02,327.86,5,Rural,348.26,55.7,18.6,2,0.36,14,139,135,70
8/3/2023,3,8,2023,0,0,1010,Home,264.71,0.2,211.77,16,Urban,249.09,157.9,24.6,8.8,0.18,6,125,251,112
11/27/2023,0,11,2023,0,0,1015,Electronics,321.49,0.14,276.48,5,Urban,346.87,92,7.8,7.3,0.89,4,67,204,108
3/29/2023,2,3,2023,0,1,1002,Grocery,172.31,0.4,103.39,2,Urban,187.08,157.2,-0.8,1.7,0.15,10,155,343,129
4/10/2023,0,4,2023,0,0,1005,Grocery,453.9,0.4,272.34,20,Rural,497.1,133.3,23.7,0.1,0.64,2,115,301,97
12/26/2023,1,12,2023,0,0,1013,Clothing,295.75,0.23,227.73,9,Rural,321.72,66.3,7,0.6,0.89,9,65,241,94
6/1/2023,3,6,2023,0,0,1017,Home,47.27,0.3,33.09,9,Rural,45.11,189.8,1.7,10.5,0.91,14,131,319,204
5/11/2023,3,5,2023,0,0,1016,Beauty,227.65,0.3,159.35,4,Urban,228.1,117.8,0.9,9.1,0.79,4,112,414,129
5/30/2023,1,5,2023,0,1,1003,Home,379.4,0.41,223.85,15,Rural,354.77,160.2,7.6,1.7,0.18,4,132,278,98
11/5/2023,6,11,2023,1,1,1014,Grocery,398.1,0.21,314.5,11,Urban,422.48,125.2,18.7,1.7,0.82,2,189,60,100
9/15/2023,4,9,2023,0,0,1010,Beauty,249.83,0.14,214.85,1,Urban,269.24,140.7,9.3,7.9,0.28,5,31,464,106
12/10/2023,6,12,2023,1,1,1002,Home,447.9,0.13,389.67,18,Rural,479.37,95.4,-4.2,13.9,0.92,13,69,305,81
10/21/2023,5,10,2023,1,0,1002,Home,137.5,0.27,100.38,1,Rural,135.67,80.1,-1.1,7.6,0.71,6,147,301,141
7/11/2023,1,7,2023,0,0,1015,Beauty,208.25,0.22,162.44,8,Urban,219.02,131.4,6.6,4.7,0.79,10,93,471,128
10/4/2023,2,10,2023,0,0,1004,Grocery,449.81,0.22,350.85,16,Urban,413.61,116,21.4,1.4,0.09,6,137,298,62
6/10/2023,5,6,2023,1,0,1009,Home,448.65,0.05,426.22,18,Urban,407.4,108.5,-1.1,3.7,0.58,3,89,393,82
11/10/2023,4,11,2023,0,0,1018,Beauty,344.43,0.36,220.44,9,Urban,361.87,150.9,17.4,1.3,0.82,12,143,94,104
1/22/2023,6,1,2023,1,0,1003,Grocery,430.2,0.11,382.88,12,Urban,423.78,153.6,-0.2,8.3,0.86,14,90,492,88
9/10/2023,6,9,2023,1,0,1018,Beauty,48.94,0.1,44.05,19,Rural,53.79,56.9,3.5,2.4,0.03,9,15,147,122
8/24/2023,3,8,2023,0,0,1010,Beauty,433.17,0.21,342.2,18,Rural,398.28,100.8,1.9,9,0.94,7,95,399,72
12/11/2023,0,12,2023,0,0,1001,Home,163.71,0.11,145.7,5,Rural,175.35,111.8,-2.3,2.4,0.04,13,91,461,104
2/18/2023,5,2,2023,1,0,1009,Grocery,93.27,0.29,66.22,2,Rural,92.9,64.5,21.9,8.7,0.61,14,165,258,116
2/28/2023,1,2,2023,0,0,1010,Home,123.49,0.19,100.03,7,Urban,131.57,85.4,13.5,2,0.69,3,51,29,119
6/19/2023,0,6,2023,0,0,1019,Electronics,211.89,0.22,165.27,10,Rural,225.33,57.7,28.2,2.9,0.11,4,83,17,79
7/7/2023,4,7,2023,0,1,1015,Electronics,129.34,0.27,94.42,15,Urban,140.1,199.4,-1,4.8,0.05,7,50,186,142
9/28/2023,3,9,2023,0,0,1018,Grocery,163.68,0.1,147.31,7,Urban,157.06,160.5,0.8,0.4,0.78,11,72,453,130
7/9/2023,6,7,2023,1,0,1010,Beauty,71.81,0.08,66.07,5,Urban,78.27,63.1,7.3,14.8,0.38,8,31,211,131
6/24/2023,5,6,2023,1,0,1013,Home,151.61,0.44,84.9,15,Urban,141.05,53,25.6,4.3,0.11,6,88,34,109
2/20/2023,0,2,2023,0,0,1001,Home,288.28,0.22,224.86,20,Rural,264.18,157.9,7.2,3.5,0.76,4,166,146,124
12/30/2023,5,12,2023,1,0,1004,Grocery,223.72,0.21,176.74,20,Rural,220.66,115.9,11.3,9.1,0.85,12,80,281,122
2/24/2023,4,2,2023,0,0,1004,Grocery,176.63,0.02,173.1,15,Urban,188.23,168,7.1,10,0.59,2,123,34,123
9/1/2023,4,9,2023,0,0,1018,Electronics,374.49,0.25,280.87,10,Rural,372.5,188.5,-1.8,3.7,0.16,10,43,75,106
11/16/2023,3,11,2023,0,1,1011,Clothing,447.29,0.28,322.05,14,Urban,476.75,139.9,32.6,13.1,0.02,8,105,71,79
5/11/2023,3,5,2023,0,0,1017,Grocery,379.61,0.28,273.32,10,Rural,397.05,78.1,16.9,0.3,0.7,1,139,248,58
11/3/2023,4,11,2023,0,0,1003,Clothing,169.34,0.35,110.07,17,Urban,159.5,167.3,26.5,0.6,0.55,9,163,56,139
5/15/2023,0,5,2023,0,0,1016,Grocery,373.5,0.09,339.88,14,Urban,407.03,193.4,21.3,4.5,0.65,8,118,356,109
1/21/2023,5,1,2023,1,0,1009,Beauty,80.23,0.13,69.8,2,Urban,73.18,137,15.6,2.2,0.81,3,84,304,141
11/25/2023,5,11,2023,1,0,1019,Beauty,69.51,0.41,41.01,16,Rural,75.05,152.3,-1.4,3.1,0.43,10,28,9,159
6/16/2023,4,6,2023,0,0,1005,Electronics,176.09,0.47,93.33,13,Urban,169.2,100.6,20.7,2,0.12,4,134,212,117
10/1/2023,6,10,2023,1,1,1013,Electronics,404.81,0.07,376.47,9,Rural,404.82,107.2,1.2,2.6,0.94,10,29,496,76
3/30/2023,3,3,2023,0,0,1010,Clothing,126.94,0.25,95.2,7,Urban,124.97,160.2,11.6,8.6,0.55,4,170,360,145
11/12/2023,6,11,2023,1,0,1010,Grocery,36.31,0.11,32.32,16,Rural,33.93,189.2,20.2,4.5,0.62,2,125,236,164
1/14/2023,5,1,2023,1,0,1017,Home,70.2,0.03,68.09,10,Rural,68.21,144.3,26.3,29.7,0.93,12,103,233,156
8/30/2023,2,8,2023,0,0,1017,Electronics,430.08,0.16,361.27,9,Urban,403.67,168.5,22.4,7.7,0.93,11,91,412,94
9/22/2023,4,9,2023,0,0,1010,Home,318.72,0.07,296.41,7,Urban,299.84,75.7,21.9,1.6,0.57,10,105,222,80
12/12/2023,1,12,2023,0,0,1011,Home,130.33,0.35,84.71,16,Rural,122.17,81.8,1,1.5,0.3,5,113,103,127
2/22/2023,2,2,2023,0,0,1004,Grocery,279.87,0.27,204.31,9,Rural,279.26,129.8,8.8,2,1,13,13,326,113
12/6/2023,2,12,2023,0,0,1008,Clothing,266.15,0.07,247.52,17,Rural,282.01,76.5,-3.3,9.3,0.68,12,169,97,96
4/2/2023,6,4,2023,1,1,1008,Grocery,329.44,0,329.44,20,Urban,333.98,145.2,23.8,0.1,0.41,3,156,225,87
9/21/2023,3,9,2023,0,0,1009,Electronics,120.43,0.4,72.26,7,Urban,129.9,93.7,33.1,1.3,0.56,12,140,221,121
2/4/2023,5,2,2023,1,1,1018,Home,432.88,0.09,393.92,11,Rural,444.7,168.7,5.6,11.8,0.42,11,101,323,81
7/25/2023,1,7,2023,0,0,1000,Grocery,158.14,0.3,110.7,8,Urban,164.13,171.2,-1.5,5.1,0.89,1,70,488,130
3/22/2023,2,3,2023,0,0,1006,Grocery,348.6,0.17,289.34,7,Urban,360.29,119.6,14,1.3,0.48,2,47,477,92
2/19/2023,6,2,2023,1,0,1003,Grocery,12.98,0.29,9.22,19,Urban,12.85,77.1,29.3,1.2,0.82,11,127,472,145
12/26/2023,1,12,2023,0,0,1000,Electronics,189.47,0.16,159.15,20,Rural,196.64,147,17.1,9.9,0.84,12,143,333,130
1/2/2023,0,1,2023,0,0,1014,Clothing,179.1,0.04,171.94,12,Rural,163.69,198.9,-3.1,11.2,0.82,7,65,279,157
2/23/2023,3,2,2023,0,0,1007,Grocery,274.02,0.11,243.88,7,Urban,293.74,143.4,34,1.5,0.72,1,177,42,125
4/16/2023,6,4,2023,1,0,1011,Electronics,41,0.09,37.31,8,Urban,43.28,55.4,28.1,2.7,0.85,12,130,350,144
9/17/2023,6,9,2023,1,0,1017,Home,396.12,0.21,312.93,7,Urban,375.94,52.6,0.3,9,0.39,13,90,381,63
11/6/2023,0,11,2023,0,0,1014,Beauty,112.8,0.33,75.58,6,Urban,118.85,98.1,31.9,7.4,0.11,13,115,422,113
7/10/2023,0,7,2023,0,0,1016,Electronics,340.13,0.13,295.91,9,Urban,306.98,79.4,13,8.4,0.84,2,129,347,71
8/6/2023,6,8,2023,1,0,1013,Beauty,402.59,0.01,398.56,13,Rural,379.82,172,9.9,3.7,0.5,14,78,152,87
2/13/2023,0,2,2023,0,0,1013,Grocery,283.13,0.26,209.52,7,Urban,258.51,176.7,13.4,12.1,0.13,10,92,338,113
6/11/2023,6,6,2023,1,0,1017,Grocery,371.74,0.3,260.22,8,Urban,392.57,88.8,28.4,2,0.12,7,51,451,87
7/21/2023,4,7,2023,0,0,1019,Electronics,332.62,0.48,172.96,17,Rural,349.64,98.8,21.4,0.9,0.16,1,108,289,87
9/27/2023,2,9,2023,0,0,1017,Beauty,180.99,0.29,128.5,17,Urban,192.34,85.4,-2.6,6.2,0.75,7,139,223,111
12/17/2023,6,12,2023,1,0,1015,Grocery,405.38,0.24,308.09,16,Urban,365.21,186.3,33.3,3.9,0.71,13,37,472,96
10/31/2023,1,10,2023,0,0,1000,Home,150.88,0.29,107.12,2,Urban,150.92,125.4,0.9,9.6,0.2,8,126,118,113
9/28/2023,3,9,2023,0,0,1010,Clothing,287.75,0.46,155.39,8,Urban,299.54,148.4,24.8,0.4,0.85,11,154,213,139
8/3/2023,3,8,2023,0,0,1014,Clothing,373.97,0.41,220.64,17,Rural,348.2,112.3,20.4,9.3,0.28,13,79,52,84
9/9/2023,5,9,2023,1,0,1011,Grocery,192.58,0.16,161.77,13,Urban,198.35,144.7,2.5,1.7,0.79,14,116,219,149
7/9/2023,6,7,2023,1,0,1007,Beauty,154.87,0.12,136.29,18,Urban,141.99,107.9,1.8,5.3,0.49,2,132,438,130
10/23/2023,0,10,2023,0,0,1019,Grocery,232.38,0.13,202.17,10,Rural,217.57,101,29.8,0.2,0.73,4,78,242,109
8/1/2023,1,8,2023,0,0,1005,Beauty,409.89,0.25,307.42,2,Rural,407.91,145.2,11.8,4.7,0.38,7,48,52,103
7/27/2023,3,7,2023,0,0,1002,Home,465.31,0.37,293.15,2,Urban,479.6,138.7,21.2,6.3,0.35,1,144,401,88
8/25/2023,4,8,2023,0,0,1012,Beauty,274.82,0.25,206.12,14,Urban,255.36,94,15.2,2.3,0.84,6,169,116,96
12/4/2023,0,12,2023,0,0,1012,Grocery,332.43,0.03,322.46,16,Rural,311.5,72.4,24.1,1.2,0.04,5,13,390,57
2/22/2023,2,2,2023,0,0,1001,Home,452.12,0.36,289.36,7,Urban,425.39,105.3,14.2,3.9,0.97,11,158,446,75
10/7/2023,5,10,2023,1,0,1004,Electronics,53.78,0.4,32.27,12,Rural,50.97,112.3,6.5,9,0.65,6,169,330,157
8/5/2023,5,8,2023,1,0,1016,Clothing,119.88,0.14,103.1,14,Rural,113.32,144.3,9.5,2,0.43,8,91,41,132
9/9/2023,5,9,2023,1,0,1005,Grocery,355.91,0.33,238.46,4,Rural,348.45,187.2,29.4,1.5,0.63,11,106,394,118
7/7/2023,4,7,2023,0,0,1001,Grocery,412.75,0.21,326.07,4,Urban,425.45,55.4,13.7,1.6,0.12,11,151,246,47
2/10/2023,4,2,2023,0,0,1003,Grocery,429.23,0.44,240.37,18,Urban,423.91,86.5,3.5,14.9,0.51,1,79,392,88
6/6/2023,1,6,2023,0,0,1010,Home,210.48,0.42,122.08,3,Rural,222.1,79.1,32.4,2.2,0.99,3,55,290,120
1/15/2023,6,1,2023,1,0,1007,Electronics,49.22,0.26,36.42,1,Urban,51.38,125.3,26.9,0,0.24,11,157,247,138
10/28/2023,5,10,2023,1,0,1011,Beauty,221.7,0.35,144.1,17,Urban,205.14,114.5,-2.8,7.6,0.72,13,195,100,123
3/6/2023,0,3,2023,0,0,1007,Electronics,119.21,0.44,66.76,7,Urban,108.45,159.4,35,6,0.43,9,108,86,148
12/11/2023,0,12,2023,0,0,1010,Home,149.14,0.25,111.85,16,Urban,160.41,86.4,22.8,0.7,0.65,12,89,352,105
11/23/2023,3,11,2023,0,0,1019,Grocery,387.27,0.16,325.31,5,Rural,354.73,139.2,1.4,21,0.2,8,57,448,82
1/9/2023,0,1,2023,0,0,1007,Clothing,42.39,0.38,26.28,19,Urban,39.41,182.6,4.5,4.7,0.47,4,16,83,155
12/10/2023,6,12,2023,1,0,1007,Grocery,414.65,0.11,369.04,7,Rural,375.02,186.6,22.7,3.5,0.98,11,49,260,86
5/9/2023,1,5,2023,0,0,1016,Beauty,216.7,0.19,175.53,14,Urban,222.26,193.8,26.2,2.4,0.2,14,68,220,116
5/16/2023,1,5,2023,0,0,1019,Clothing,300.05,0.43,171.03,2,Urban,304.99,166,4.6,11.4,0.64,10,45,153,120
3/4/2023,5,3,2023,1,0,1019,Grocery,49.38,0.36,31.6,3,Urban,54.19,185.9,5.3,1.4,0.58,9,181,50,182
5/19/2023,4,5,2023,0,0,1015,Clothing,171.99,0.2,137.59,17,Rural,185.3,85.2,7.3,1.7,0.57,7,117,37,113
3/22/2023,2,3,2023,0,0,1013,Electronics,49.4,0.11,43.97,16,Rural,48.52,79.6,18.9,0.7,0.62,2,40,258,130
6/12/2023,0,6,2023,0,1,1010,Home,480.96,0.18,394.39,8,Urban,468.61,51,1.9,7.1,0.5,1,179,468,41
10/16/2023,0,10,2023,0,0,1006,Grocery,404.59,0.14,347.95,18,Rural,388.15,156,-0.8,4.5,0.02,1,53,186,72
9/18/2023,0,9,2023,0,0,1015,Beauty,232.52,0.09,211.59,15,Urban,216.36,190.6,22.2,4.7,0.9,13,180,12,121
8/19/2023,5,8,2023,1,0,1012,Electronics,115.68,0.37,72.88,7,Rural,107.31,78,26.2,1.2,0.83,3,52,222,127
2/10/2023,4,2,2023,0,0,1014,Grocery,467.06,0.13,406.34,9,Rural,432.71,145.5,15,5.3,0.17,13,184,464,79
1/28/2023,5,1,2023,1,0,1015,Electronics,175.58,0.23,135.2,6,Rural,162.03,162,9.6,7.3,0.41,14,143,418,121
5/15/2023,0,5,2023,0,0,1008,Beauty,84.69,0.19,68.6,18,Rural,80.29,189.1,12.3,2.2,0.77,10,102,86,152
7/20/2023,3,7,2023,0,1,1002,Grocery,283.77,0.49,144.72,18,Urban,272.8,147,10.5,8.1,0.98,2,95,258,144
11/24/2023,4,11,2023,0,0,1018,Beauty,472.17,0.2,377.74,14,Urban,515.76,195.5,33.4,2.1,0.95,4,18,180,111
9/25/2023,0,9,2023,0,1,1019,Clothing,6.9,0.04,6.62,14,Urban,7.01,101.7,25.7,7.1,0.9,14,20,310,139
2/2/2023,3,2,2023,0,0,1004,Beauty,122.87,0.04,117.96,14,Urban,134.85,102.5,3.3,0.2,0.16,14,89,172,121
2/17/2023,4,2,2023,0,0,1009,Clothing,469.53,0.3,328.67,4,Rural,457.55,131.5,10.4,4,0.91,8,118,321,87
3/3/2023,4,3,2023,0,0,1016,Grocery,89.69,0.3,62.78,4,Urban,88.93,107.5,16.8,17.5,0.88,5,127,194,125
8/4/2023,4,8,2023,0,0,1014,Clothing,61.06,0.21,48.24,15,Rural,58.92,50.2,19.5,19.9,0.38,5,27,339,127
10/20/2023,4,10,2023,0,0,1007,Grocery,287.24,0.22,224.05,15,Urban,269.02,159.8,13.7,1.7,0.39,6,162,495,111
4/9/2023,6,4,2023,1,0,1014,Grocery,431.61,0.03,418.66,18,Urban,400.81,162.8,27.4,2.9,0.46,13,106,244,77
6/21/2023,2,6,2023,0,0,1013,Home,241.17,0.26,178.47,14,Rural,262.64,162,25.7,0.3,0.66,12,195,427,127
12/26/2023,1,12,2023,0,0,1019,Grocery,497.31,0.25,372.98,1,Urban,545.73,101.8,15.2,10.3,0.26,5,39,328,51
8/2/2023,2,8,2023,0,0,1006,Clothing,341.19,0.07,317.31,10,Rural,310.14,128.3,29.2,4.2,0.02,5,124,367,69
2/4/2023,5,2,2023,1,0,1011,Home,41.67,0.05,39.59,20,Urban,38.76,104,25,2.4,0.14,14,10,195,145
8/15/2023,1,8,2023,0,0,1016,Home,496.45,0.06,466.66,10,Rural,488.86,52.4,26.1,0.6,0.44,7,106,61,49
4/11/2023,1,4,2023,0,0,1016,Grocery,206.91,0.05,196.56,10,Urban,193.93,134.4,33.3,14.7,0.28,6,122,24,95
5/11/2023,3,5,2023,0,0,1009,Beauty,147.26,0.3,103.08,2,Urban,143.25,68.6,5.7,3.8,0.76,13,88,51,111
9/14/2023,3,9,2023,0,0,1018,Beauty,281.15,0.1,253.04,8,Rural,260.29,62,5.7,1.7,0.11,13,38,49,70
1/5/2023,3,1,2023,0,0,1013,Home,155.63,0.13,135.4,1,Rural,154.28,163.3,30.6,2.2,0.92,14,75,377,142
8/6/2023,6,8,2023,1,0,1010,Grocery,47.8,0.09,43.5,1,Urban,45.62,51.4,25.9,1.6,0.9,10,190,384,120
9/12/2023,1,9,2023,0,0,1001,Beauty,5.71,0.48,2.97,4,Urban,5.54,193.9,32.1,4.6,0.91,11,114,294,182
12/25/2023,0,12,2023,0,0,1017,Grocery,227.54,0.43,129.7,7,Urban,209.08,127.3,-2.5,13.3,0.74,2,28,51,134
10/10/2023,1,10,2023,0,0,1006,Grocery,419.25,0.12,368.94,9,Urban,413.22,197.5,20.1,9.7,0.11,13,75,331,96
7/26/2023,2,7,2023,0,0,1011,Home,288.3,0.16,242.17,16,Rural,316.16,58.7,0.8,3.1,0.44,1,121,39,85
1/15/2023,6,1,2023,1,0,1001,Home,499.61,0.1,449.65,5,Rural,482.51,137.5,15.2,8.8,0.13,1,189,231,59
12/12/2023,1,12,2023,0,0,1019,Electronics,146.99,0.25,110.24,2,Urban,158.06,102.4,1.2,2.8,0.99,4,168,59,138
2/11/2023,5,2,2023,1,1,1017,Beauty,143.83,0.01,142.39,11,Urban,153.7,176.5,0.1,1.5,0.33,2,69,215,141
6/28/2023,2,6,2023,0,0,1005,Beauty,84.08,0.34,55.49,18,Rural,91.68,104.2,-4.5,20.5,0.59,6,126,456,117
3/4/2023,5,3,2023,1,0,1009,Beauty,86.21,0.26,63.8,19,Urban,91.21,89.1,20.2,1.8,0.78,12,77,365,119
12/18/2023,0,12,2023,0,0,1019,Clothing,146.17,0.45,80.39,13,Rural,150.84,178.6,9.4,2,0.92,12,102,339,158
8/19/2023,5,8,2023,1,0,1014,Grocery,397.46,0.08,365.66,11,Urban,425.81,106.2,-0.8,22.9,0.76,9,167,196,91
8/29/2023,1,8,2023,0,0,1004,Home,453.35,0.4,272.01,20,Rural,414.87,52.5,7.9,0.7,0.67,10,150,275,79
2/21/2023,1,2,2023,0,1,1019,Beauty,487.67,0.4,292.6,19,Urban,484.04,108.5,1.8,7.1,0.47,11,152,340,89
4/6/2023,3,4,2023,0,0,1002,Electronics,119.98,0.06,112.78,17,Rural,131.72,148.2,32.7,13.7,0.61,14,157,1,123
8/10/2023,3,8,2023,0,0,1004,Beauty,441.24,0.2,352.99,5,Urban,465.03,88.2,7.8,3.6,0.09,10,171,468,58
8/19/2023,5,8,2023,1,0,1007,Grocery,167.49,0.09,152.42,13,Urban,182.97,114.8,8.4,0,0.88,8,157,105,137
8/25/2023,4,8,2023,0,0,1007,Grocery,60.86,0.13,52.95,20,Rural,64.26,58.5,28.6,2.4,0.54,4,59,215,122
5/23/2023,1,5,2023,0,0,1007,Home,435.66,0.13,379.02,1,Urban,468.32,138.2,20.9,0.6,0.04,13,98,264,67
6/20/2023,1,6,2023,0,0,1011,Clothing,319.87,0.28,230.31,10,Urban,333.08,163.4,23.4,2.7,0.92,12,164,166,127
1/29/2023,6,1,2023,1,0,1007,Home,86.54,0.21,68.37,8,Urban,91.05,112,20.4,7.8,0.49,2,167,246,136
2/5/2023,6,2,2023,1,0,1010,Beauty,217.77,0.47,115.42,8,Urban,218.78,113,32.8,2.9,0.87,1,193,413,144
1/13/2023,4,1,2023,0,1,1013,Electronics,147.19,0.06,138.36,19,Rural,159.68,63.2,3.3,2.8,0.86,7,108,437,110
6/9/2023,4,6,2023,0,0,1007,Home,369.71,0.49,188.55,6,Rural,393.74,80.3,34.6,4.1,0.82,10,192,209,102
11/23/2023,3,11,2023,0,0,1009,Clothing,229.44,0.12,201.91,12,Urban,245.22,73.2,28.2,4.4,0.06,3,122,57,72
7/6/2023,3,7,2023,0,0,1006,Home,494.69,0.39,301.76,7,Rural,511.81,122.3,18.6,9.7,0.25,14,116,427,93
8/31/2023,3,8,2023,0,0,1016,Grocery,32.1,0.17,26.64,16,Urban,30.85,129.4,21.5,1.8,0.88,6,33,42,141
3/27/2023,0,3,2023,0,0,1003,Beauty,180.73,0.07,168.08,9,Rural,163.94,192.3,21,8.6,0.9,5,34,137,144
10/11/2023,2,10,2023,0,0,1012,Beauty,243.54,0.43,138.82,10,Urban,264.76,61,-2.7,4.2,0.46,5,190,108,107
3/7/2023,1,3,2023,0,0,1003,Beauty,254.05,0.15,215.94,10,Urban,258.43,140,3.7,1.8,0.44,12,20,488,125
6/19/2023,0,6,2023,0,0,1004,Beauty,161.39,0.33,108.13,10,Urban,154.87,129,33.5,1.7,0.18,2,103,47,122
2/14/2023,1,2,2023,0,0,1003,Beauty,365.97,0.28,263.5,20,Urban,340.29,127.4,16.4,2.2,0.97,14,69,125,118
3/3/2023,4,3,2023,0,0,1017,Beauty,438,0.24,332.88,16,Urban,466.87,181,10.1,4.9,0.21,9,184,468,92
5/14/2023,6,5,2023,1,0,1005,Electronics,469.67,0.25,352.25,1,Urban,501.28,80.8,25.5,1.3,0.19,11,162,213,56
10/11/2023,2,10,2023,0,0,1001,Clothing,403.52,0.37,254.22,17,Rural,428.9,56.1,16,12.6,0.66,4,34,400,106
1/28/2023,5,1,2023,1,0,1010,Beauty,426.04,0.04,409,14,Urban,438.4,150.8,-4.5,4.3,0.24,10,154,127,61
4/18/2023,1,4,2023,0,0,1013,Clothing,277.52,0.33,185.94,19,Rural,270.08,101.8,24.4,12.6,0.94,1,149,388,141
2/13/2023,0,2,2023,0,0,1004,Beauty,413.81,0.45,227.6,17,Urban,397.59,52.6,24.3,0.2,0.01,2,132,197,86
12/6/2023,2,12,2023,0,0,1005,Home,155.23,0.03,150.57,14,Rural,139.97,87.7,1.6,2.1,0.01,9,189,201,90
10/13/2023,4,10,2023,0,0,1009,Beauty,202.25,0.07,188.09,8,Rural,215.74,96.4,33.3,0.1,0.5,7,20,191,107
11/27/2023,0,11,2023,0,0,1007,Grocery,161.87,0.36,103.6,9,Rural,148.51,142.5,4,1.6,0.49,10,19,106,117
5/8/2023,0,5,2023,0,0,1013,Electronics,236.36,0.22,184.36,8,Rural,242.54,75.9,13.3,9.9,0.16,2,90,193,95
12/14/2023,3,12,2023,0,0,1002,Home,146.36,0.2,117.09,13,Rural,146.48,112,-0.4,0.2,0.49,7,197,326,123
8/19/2023,5,8,2023,1,0,1011,Home,481,0.07,447.33,17,Urban,483.57,122.4,19.1,2.9,0.41,14,63,237,69
7/9/2023,6,7,2023,1,0,1015,Grocery,159.86,0.25,119.9,19,Rural,173.5,118.9,10,0.6,0.89,4,118,131,130
8/13/2023,6,8,2023,1,0,1016,Beauty,53.53,0.06,50.32,7,Urban,48.52,196.1,9.1,2.7,0.01,10,72,356,155
10/10/2023,1,10,2023,0,0,1000,Electronics,265.77,0.24,201.99,17,Urban,280.3,56.8,28.1,9.1,0.98,2,29,82,101
5/1/2023,0,5,2023,0,1,1009,Home,33.26,0.38,20.62,1,Urban,30.28,192.6,-4.6,4.9,0.62,12,14,283,161
4/26/2023,2,4,2023,0,0,1009,Electronics,59.72,0.13,51.96,5,Rural,54.2,137.3,26.9,6.7,0.15,4,50,467,147
8/21/2023,0,8,2023,0,0,1001,Home,113.6,0.24,86.34,6,Urban,112.01,169.4,17.9,2.1,0.05,5,127,221,135
9/16/2023,5,9,2023,1,0,1008,Beauty,234.85,0.5,117.42,2,Urban,214.33,114.6,34.4,14.4,0.54,13,72,105,130
12/25/2023,0,12,2023,0,0,1012,Home,219.46,0.34,144.84,16,Urban,232.15,118.1,18.6,6.2,0.23,14,193,293,102
7/17/2023,0,7,2023,0,0,1015,Home,400.85,0.42,232.49,5,Rural,403.22,181.9,-2.8,2.7,0.3,4,41,65,97
