Date,DayOfWeek,Month,Year,Is_Weekend,Is_Holiday,Product_ID,Category,Base_Price,Discount_Percentage,Current_Price,Store_ID,Store_Type,Competitor_Price,Footfall_Index,Avg_Temperature,Rainfall_mm,Social_Media_Sentiment,Lead_Time_Days,Safety_Stock_Level,Stock_On_Hand,Daily_Units_Sold,Festival_Name,Festival_Type,UPC_EAN,Product_Name,Sub_Category,Brand_Name,Brand_Tier,Shelf_Life_Days,No_of_Checkout_Counters,Avg_Billing_Time_min,Local_Population_Density,Product_Age_Days,No_of_Customer_Purchases,Unit_Cost,Promotional_Campaign_Flag,Competitor_Promotion_Flag,Google_Trends_Current_Wk,Google_Trends_Lag_1w,Shelf_Capacity,Promotion_Type,Marketing_Spend,Payday_Flag,School_Vacation_Flag,Local_Event_Flag,Launch_Date,Seasonal_Product_Flag,Online_Sales_Units,In_Store_Sales_Units,App_Traffic_Index,Website_Visits,Backorder_Flag,Supplier_Delay_Days,Fill_Rate_Pct,Loyalty_Program_Usage_Count,Repeat_Purchase_Rate,Avg_Basket_Size
04/13/2023,3,4,2023,0,0,1002,Grocery,410.09,0.01,405.99,15,Urban,411.58,127.6,29.1,8.5,0.63,7,141,471,83,,,8148570840155,Nestle Beverages 1002,Beverages,Nestle,Premium,54,6,5.9,12371,228,22,322.2,N,N,32,32,30,None,1247,0,0,0,08/28/2022,Y,12,71,488,896,N,0,88.93,11,0.14,3.77
12/15/2023,4,12,2023,0,0,1014,Home,89.98,0.3,62.99,7,Rural,90.37,56.9,1.9,5.3,0.35,11,59,263,102,,,7203826864190,Tupperware Decor 1014,Decor,Tupperware,Budget,2244,11,5.2,1046,1822,69,47.96,Y,Y,77,32,99,Flash Sale,1942,0,1,0,12/19/2018,Y,31,71,619,1406,N,2,90.16,31,0.14,1.48
09/28/2023,3,9,2023,0,0,1015,Electronics,404.88,0.14,348.2,17,Urban,408.07,191.8,14.5,2.8,0.77,4,111,302,89,,,5094762337870,Sony Computers 1015,Computers,Sony,Mid,1196,11,7.4,9278,1759,83,319.44,N,Y,19,77,71,None,1042,0,0,0,12/04/2018,N,32,57,626,1432,N,6,88.0,23,0.38,1.07
04/17/2023,0,4,2023,0,0,1012,Grocery,347.97,0.43,198.34,12,Urban,349.2,71.6,24.4,1.3,0.86,11,38,389,98,,,16104203210,Nestle Spices 1012,Spices,Nestle,Premium,7,8,4.4,7650,1330,21,266.76,Y,N,33,19,28,Flash Sale,4105,0,0,0,08/26/2019,N,32,66,626,1432,N,2,91.17,7,0.13,4.67
03/13/2023,0,3,2023,0,0,1016,Grocery,280.16,0.14,240.94,18,Urban,252.64,185.5,26.0,0.4,0.36,14,46,262,100,,,8572879201082,Tata Spices 1016,Spices,Tata,Premium,10,13,2.6,5779,1127,46,172.32,N,Y,60,33,95,None,706,0,0,0,02/10/2020,N,23,77,564,1191,N,0,89.39,9,0.16,2.17
07/08/2023,5,7,2023,1,0,1002,Beauty,351.27,0.34,231.84,14,Urban,316.26,62.5,26.4,3.8,0.53,6,172,211,83,,,8588322527842,L'oreal Makeup 1002,Makeup,L'oreal,Mid,577,5,2.1,7326,1452,22,290.92,Y,N,93,60,86,BOGO,3951,0,0,0,07/17/2019,N,24,59,571,1218,N,3,85.62,6,0.38,3.77
01/21/2023,5,1,2023,1,0,1019,Clothing,208.95,0.34,137.91,15,Urban,192.14,173.4,4.1,23.2,0.12,9,157,464,110,,,5162036505785,Zara Formalwear 1019,Formalwear,Zara,Budget,624,6,5.9,12371,335,48,120.06,Y,N,33,93,61,Flash Sale,4679,0,0,0,02/20/2022,N,39,71,674,1620,N,1,86.5,28,0.23,2.29
04/13/2023,3,4,2023,0,1,1010,Clothing,73.51,0.11,65.42,15,Rural,67.65,72.8,2.7,6.7,0.42,12,172,163,103,,,9907038161151,Zara Activewear 1010,Activewear,Zara,Premium,611,13,3.1,1680,300,33,41.17,N,Y,80,33,96,None,1029,0,0,0,06/17/2022,N,31,72,619,1406,N,1,90.53,6,0.2,3.12
05/02/2023,1,5,2023,0,0,1018,Electronics,334.55,0.02,327.86,5,Rural,348.26,55.7,18.6,2.0,0.36,14,139,135,70,,,2386552824760,Samsung Computers 1018,Computers,Samsung,Budget,1112,13,2.3,682,1731,49,186.13,N,Y,13,80,44,None,924,1,1,0,08/05/2018,N,19,51,536,1084,N,2,91.48,20,0.16,1.43
08/03/2023,3,8,2023,0,0,1010,Home,264.71,0.2,211.77,16,Urban,249.09,157.9,24.6,8.8,0.18,6,125,251,112,,,5360161709121,Ikea Kitchenware 1010,Kitchenware,Ikea,Mid,2038,3,2.2,9314,496,39,203.14,Y,N,16,13,108,BOGO,5428,1,0,0,03/25/2022,N,30,82,612,1379,N,0,97.26,16,0.11,2.87
